City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,bandarbeyla,9.4942,50.8122,26.16,72,97,3.73,SO,1711765149
337,marbella,36.5154,-4.8858,11.25,88,100,6.37,ES,1711765151
338,peniche,39.3558,-9.3811,10.31,90,99,5.63,PT,1711765151
339,sandnessjoen,66.0217,12.6316,0.29,69,100,7.17,NO,1711765152
340,solleftea,63.1667,17.2667,-1.08,99,100,1.23,SE,1711765152
341,ljusdal,61.8288,16.0913,1.32,99,99,1.56,SE,1711765153
342,tanjung pandan,-2.75,107.65,29.96,68,91,2.93,ID,1711765153
343,tarauaca,-8.1614,-70.7656,26.5,75,100,0.97,BR,1711765154
344,buala,-8.145,159.5921,26.93,89,100,2.0,SB,1711765154
345,puerto madero,14.7208,-92.4215,28.11,78,0,0.0,MX,1711764564
346,lezajsk,50.2626,22.4193,12.04,85,100,3.86,PL,1711765155
347,muravlenko,63.7898,74.523,-16.02,96,62,2.17,RU,1711765156
348,geraldton,-28.7667,114.6,23.23,46,64,4.12,AU,1711764947
349,prado,-17.3411,-39.2208,25.62,91,24,1.66,BR,1711764878
350,le port,-20.9373,55.2919,25.98,76,100,2.12,RE,1711765157
351,lucapa,-8.4192,20.7447,19.18,97,100,1.01,AO,1711765158
352,bayanhongor,46.7167,100.1167,-6.56,74,32,0.15,MN,1711765158
353,emerald,-23.5333,148.1667,30.75,37,9,6.78,AU,1711764971
354,sant'antioco,39.0664,8.4522,15.66,63,0,8.31,IT,1711765159
355,maralal,1.0968,36.698,16.24,78,34,1.69,KE,1711765160
356,murghob,38.1702,73.9667,-3.64,70,96,1.62,TJ,1711764862
357,oranjemund,-28.55,16.4333,15.75,91,0,1.01,NA,1711765160
358,galle,6.0367,80.217,26.22,80,42,2.84,LK,1711765134
359,afif,23.9065,42.9172,17.84,52,100,4.05,SA,1711765161
360,ryotsu-minato,38.0833,138.4333,10.65,65,2,9.64,JP,1711765162
361,bubaque,11.2833,-15.8333,25.75,67,100,5.04,GW,1711765162
362,uturoa,-16.7333,-151.4333,28.49,76,98,9.78,PF,1711765163
